datetime,CONTESTANT_A_robot,CONTESTANT_A_sloth-1,CONTESTANT_A_sloth-2,CONTESTANT_A_sloth-3,CONTESTANT_A_sloth-4,CONTESTANT_A_rabbit-1,CONTESTANT_A_rabbit-2,CONTESTANT_A_turtle,CONTESTANT_A_koala,CONTESTANT_B_robot,CONTESTANT_B_sloth-1,CONTESTANT_B_sloth-2,CONTESTANT_B_sloth-3,CONTESTANT_B_sloth-4,CONTESTANT_B_rabbit-1,CONTESTANT_B_rabbit-2,CONTESTANT_B_turtle,CONTESTANT_B_koala
2026-07-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-07-06,1.0026226397563476,1.0,1.0,1.0,1.0,1.0026226397563476,1.0026226397563476,1.0026226397563476,0.9895952706927448,1.0127177255628494,1.0,1.0,1.0,1.0,1.0127177255628494,1.0127177255628494,1.0127177255628494,0.9888382857473391
2026-07-07,0.9830186414523905,1.0,1.0,1.0,1.0,0.9830186414523905,0.9830186414523905,0.9830186414523905,0.968341278441271,0.9938177366107785,1.0,1.0,1.0,1.0,0.9938177366107785,0.9938177366107785,0.9938177366107785,0.9667702810105581
2026-07-08,0.9743326375799348,1.0,1.0,1.0,1.0,0.9743326375799348,0.9743326375799348,0.9743326375799348,0.9561972729564698,0.979971742032075,1.0,1.0,1.0,1.0,0.979971742032075,0.979971742032075,0.979971742032075,0.9545242862274114
2026-07-09,0.9792646484843056,1.0,1.0,1.0,1.0,0.9792646484843056,0.9792646484843056,0.9792646484843056,0.9754732754715525,0.9748037404598977,1.0,1.0,1.0,1.0,0.9748037404598977,0.9748037404598977,0.9748037404598977,0.9772382818134062
2026-07-10,0.9885766443544312,1.0,1.0,1.0,1.0,0.9885766443544312,0.9885766443544312,0.9885766443544312,0.963431279800985,0.9740617417780754,1.0,1.0,1.0,1.0,0.9740617417780754,0.9740617417780754,0.9740617417780754,0.9705382790987427
2026-07-13,0.958746104165399,0.9734415984201775,1.0,1.0,1.0,0.9681238393894557,0.9800285470904545,0.96057976909415,0.9288000061505015,0.9555087271700121,0.9883101188666374,1.0,1.0,1.0,0.9598777055168226,0.9653336179754682,0.9570381597748198,0.9338734645477375
2026-07-14,0.9893441134212729,0.9916236059518849,1.0,1.0,1.0,0.9906658363064003,0.996024540291925,0.9829937801213385,0.9446420044842939,0.9917887457137219,1.0212261326350334,1.0,1.0,1.0,0.9852737035638321,0.9843056280690631,0.9916141755986615,0.9553794524405822
2026-07-15,0.9840600941013514,0.9884475987384915,1.0,1.0,1.0,0.9904738334940364,1.0000385444297593,0.9803737654467868,0.9296440095894349,0.9915407421653525,1.0272001370947426,1.0,1.0,1.0,0.9861497000630546,0.98817761693534,0.9952981753113225,0.949155460512414
2026-07-16,0.9663021037549068,0.9750615995090924,1.0,1.0,1.0,0.9779798355057798,0.986182544190438,0.9653417692371637,0.9215159996147918,0.9747027358082921,1.0163061270972347,1.0,1.0,1.0,0.9738077022225862,0.9755556167144991,0.9816281689974167,0.9400754493164255
